Scientific Name,Family ,Local Name,Disease used on ,Parts used,Preparation and Administration,Quality of Dosage ,Administration Frequency,Experienced adverse or side effects,Literature taken from,Page where the data can be found on the literature
Sida rhombifolia L.,Malvaceae,Eskuba laki,Fever,Bark,Drink decoction,1–3 palm- sized barks,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 32
Urena lobata L.,Malvaceae,Dupang bae,"Stomach trouble; arthritis, rheumatism; labor and delivery, postpartum care and recovery; fever; cuts and wounds, fracture and dislocation, bruises and contusion, sprain, animal bites",Whole Plant,Drink or apply decoction or burn as incense,1 bowl,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 32
Urena lobata L.,Malvaceae,Dupang bae,Diabetes; sore throat; toothache; abdominal pain,Shoot,Drink decoction,3–5 glasses,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 32
Angiopteris evecta Sw.,Marattiaceae,Amampang,"Muscle pain; postpartum care and recovery; backache, body ache, weakness, and fatigue, cramp and spasm",Root,Drink decoction,3–5 glasses  ,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 32
Medinilla teysmannii Miq,Melastomataceae,Tampion,"Swollen muscles and swellings, muscle pain; gas pain and flatulence; sprain
 ",Leaf,Apply heated leaves as hot compress,1–3 leaves,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 32
Melastoma malabathricum L.,Melastomataceae,Hantutuknaw puti,"Diarrhea, dysentery, stomachache, hemorrhoids; headache, fever",Shoot,Drink decoction,3–5 glasses ,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 33
Melastoma malabathricum L.,Melastomataceae,Hantutuknaw puti,Toothache; cuts and wounds,Leaf,Drop or drink stem sap,1–3 leaves,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 33
 Lansium domesticum Correa,Meliaceae,Lansones,"Malaria; diarrhea, dysentery, dyspepsia; fever, gas pain and flatulence","Bark, Leaf ",Drink decoction,3–5 glasses  ,Twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 33
 Lansium domesticum Correa,Meliaceae,Lansones,Insect bites,Bark,Apply powdered bark,Completely on affected part,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 33
Sandoricum koetjape (Burm.f.) Merr.,Meliaceae,Santol,"Tonic; hypertension; diarrhea, dysentery; postpartum care and recovery; abdominal pain, fever","Bark, Fruit, Leaf","Drink decoction of mesocarp, leaves and scraped bark",3–5 glasses ,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 33
Sandoricum koetjape (Burm.f.) Merr.,Meliaceae,Santol,Toothache,Leaf,Apply crushed leaves as poultice,1–3 leaves,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 33
Sandoricum koetjape (Burm.f.) Merr.,Meliaceae,Santol,"Boils, skin rashes and itchiness, dermatitis",Leaf,Apply decoction as wash,3–5 leaves,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 33
Sandoricum koetjape (Burm.f.) Merr.,Meliaceae,Santol,Ringworm,Bark,Apply pounded scraped bark as poultice,1–3 palm- sized barks,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 33
"Swietenia mahagoni
(L.) Jacq.",Meliaceae,Mahogany,"Dysmenorrhea, delayed menstruation; abortifacient; abdominal pain",Seed,Take powdered seed or drink decoction,1–3 glasses ,Once a day or as needed,Can cause abortion in pregnant women,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 33
"Swietenia mahagoni
(L.) Jacq.",Meliaceae,Mahogany,"Amoebiasis, malaria; cancer; tonic; hypertension; cough; diarrhea; miscarriage; fever",Bark,Drink decoction,1–3 glasses ,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 34
"Arcangelisia flava
(L.) Merr.",Menispermaceae,Lagtang or Abutra,"Jaundice; tumor, myoma; diabetes, tonic; respiratory disease complex; diarrhea, dysentery, dyspepsia, ulcer, appetite enhancer; dysmenorrhea, delayed menstruation; abortifacient; fever","Root, Stem",Drink decoction,3–5 glasses  ,Thrice a day or as needed,Can cause abortion in pregnant women,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 34
"Arcangelisia flava
(L.) Merr.",Menispermaceae,Lagtang or Abutra,"Scabies; boils, skin rashes and itchiness; cuts and wounds","Root, Stem",Apply coconut oil-infused stem,Completely on affected part,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 34
Tinospora crispa (L.) Hook. f. & Thomson,Menispermaceae,Panyawan,"Malaria; tonic; diarrhea, stomach trouble, vomiting, ulcer, toothache; arthritis, rheumatism; dysmenorrhea; abortifacient; abdominal pain, backache, body ache, fever",Stem,Drink local alcohol- tinctured or decocted stem,1–3 glasses,Once or twice a day or as needed,Can cause abortion in pregnant women,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 34
Tinospora crispa (L.) Hook. f. & Thomson,Menispermaceae,Panyawan,Scabies; sore eyes; cuts and wounds,"Sap, Stem",Drop stem sap,Completely on affected part,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 34
Tinospora crispa (L.) Hook. f. & Thomson,Menispermaceae,Panyawan,"Arthritis, rheumatism; abortifacient; abdominal pain, body ache; gas pain and flatulence",Stem,Apply coconut oil-infused stem or stem mixed with gasoline,Completely on affected part,As needed,Can cause abortion in pregnant women,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 34
Ficus botryocarpa Miq.,Moraceae,Kabiya,"Headache, fever",Root,Drink decoction,1 arm-sized root,Twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 35
Ficus cassidyana Elmer,Moraceae,Tobog tapol,"Colds; diabetes; hypertension; asthma, cough, respiratory disease complex; diarrhea, stomachache; urinary tract infection; postpartum recovery, maternal care, milk production enhancer; weakness and fatigue, relapse","Bark, Root",Drink decoction,1–3 glasses,Thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 35
Ficus cassidyana Elmer,Moraceae,Tobog tapol,Diabetes; hypertension,Fruit,Eat fresh fruit directly,1–3 fruits,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 35
Ficus cassidyana Elmer,Moraceae,Tobog tapol,"Body ache, headache, fever",Leaf,Apply leaves as poultice,3–5 leaves,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 35
Ficus concinna (Miq.) Miq.,Moraceae,Balete,"Prostate cancer, cyst, tumor; arthritis, rheumatism; kidney problem, prostate problem","Bk, Lf, Rt",I  Drink decoction,5–7 glasses,Once a day in thrice a week for 2 months,"In excess can cause anemia, dizziness, and weakening","""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 35
Ficus concinna (Miq.) Miq.,Moraceae,Balete,Cuts and wounds,"Bk, Lf, Rt",Apply decoction as wash,1–3 glasses,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 35
Ficus concinna (Miq.) Miq.,Moraceae,Balete,"Fracture and dislocation, sprain","Bk, Rt",Apply fresh and heated bark and root as poultice,1–3 palm- sized barks or 1 arm- sized root,Once a day or as needed,Bark can cause skin allergy or burn,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 35
Ficus fistulosa Reinw. ex Blume,Moraceae,Tobog puti,"Colds; diabetes; hypertension; asthma, cough, respiratory disease complex; diarrhea, stomachache; urinary tract infection; maternal care, postpartum recovery, milk production enhancer; weakness and fatigue, relapse","Bk, Rt",Drink decoction,1–3 glasses,Thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 35
Ficus fistulosa Reinw. ex Blume,Moraceae,Tobog puti,Diabetes; hypertension,Fruit,Eat fresh fruit directly,1–3 fruits,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 36
Ficus fistulosa Reinw. ex Blume,Moraceae,Tobog puti,"Body ache, headache, fever",Leaf,Apply leaves as poultice,3–5 leaves,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 36
Ficus pseudopalma Blanco,Moraceae,Lobi-lobi,"Diabetes; hypertension, atherosclerosis, hemorrhage; diarrhea, stomach trouble, dyspepsia; kidney stones; muscle pain; postpartum care and recovery; cramp and spasm","Leaf, Root","Drink decoction
 ",3–5 glasses,Twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 36
Ficus septica Burm.f.,Moraceae,Lagnob,"Stomach trouble; asthma, sinusitis; muscle pain; backache, body ache, headache, fever, weakness, and fatigue","Leaf, Root",Drink decoction,3–5 glasses,Once a day for 3 days only,In excess can cause intestinal weakening,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 36
Ficus septica Burm.f.,Moraceae,Lagnob,"Warts; cataract, eye problem","Leaf, Sap ",Apply drops of leaf sap,3–5 leaves,Twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 36
Ficus septica Burm.f.,Moraceae,Lagnob,Herpes simplex; boils,"Root, Sap, Stem",Apply stem and root sap,Completely on affected part,Thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 36
Ficus sp.,Moraceae,Tuwa-tuwa,"Pregnancy, impotence and sterility, postpartum care and recovery",Leaf,"Drink decoction
",3–5 glasses,"Once a day for 3–5 days or as needed
",,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 36
Morus alba L.,Moraceae,Tahibo,"Colds; asthma, pneumonia, lung nodule, cough; muscle pain; cramp and spasm, relapse",Leaf,Drink decoction,3–5 glasses ,"Twice to thrice a day for 3–5 days
 ",In excess can cause acid reflux and hypocupremia,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 36
Muntingia calabura L.,Muntingiaceae,Mansanitas,"Colds; diarrhea, stomachache, vomiting, ulcer; prostate problem; abdominal pain, headache",Leaf,Drink decoction,3–5 glasses  ,Twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 37
Myristica agusanensis Elmer,Myristicaceae,Duguang kahoy,Measles; respiratory disease complex,Bark,Drink decoction,3–5 glasses ,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 37
Psidium guajava L.,Myrtaceae,Bayabas,"Diarrhea, ulcer","Bark, Leaf, Root",Drink decoction,3–5 glasses,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 37
Psidium guajava L.,Myrtaceae,Bayabas,Constipation,Fruit,Eat fresh fruit directly,1–3 fruits,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 37
Psidium guajava L.,Myrtaceae,Bayabas,Scabies; toothache; skin eruptions; cuts and wounds,Leaf,Apply chewed or pounded leaves,3–5 leaves,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 37
Psidium guajava L.,Myrtaceae,Bayabas,Dandruff; cuts and wounds; circumcision antiseptic,Leaf,Apply decocted leaves as wash,3–5 leaves,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 37
Pandanus amaryllifolius Roxb.,Pandanaceae,Pandantsina,"Heart enlargement, high cholesterol; urination difficulty, kidney stone, kidney problem, urinary bladder swelling, prostate problem",Leaf,Drink decoction,3–5 glasses  ,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 37
Phyllanthus amarus Schumach. & Thonn.,Phyllanthaceae,Talikod or Likod-likod,"Jaundice, colds; tonic; coughs; stomach problem; kidney stone, kidney problem, urinary bladder swelling; new- born baby care; fever
 ",Whole Plant,Drink decoction or apply decocted leaves as wash,3–5 glasses decoction or 1/2 cup leaf sap (adult); 1/2 cup decoction or 1 teaspoonful leaf sap (baby,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 37
Phyllanthus amarus Schumach. & Thonn.,Phyllanthaceae,Talikod or Likod-likod,"Scabies, jaundice, ringworm; skin rashness and itchiness, dermatitis, eczema; cuts and wounds","Fruti, Root ",Apply decoction as wash,3–5 glasses  ,"Thrice a day or as needed
 ",,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 38
Piper aduncum L.,Piperaceae,Lunas buyo,"Skin rashes and itchiness; cuts and wounds, animal and insect bites","Leaf, Stem",Apply decoction,Completely on affected part,Once or twice a day or as needed,In excess can cause intestinal weakening,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 38
Piper decumanum L.,Piperaceae,Lunas bagon tapol,"Typhoid fever; cancer, cyst, tumor; pulmonary tuberculosis; diarrhea, stomach trouble, ulcer; gas pain and flatulence; poisoning",Stem,Drink local alcohol- tinctured stem,1/2 to 1 glass,Once a day in thrice a week or as needed,In excess can cause intestinal weakening,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 38
Piper decumanum L.,Piperaceae,Lunas bagon tapol,"Tonsillitis; toothache, gum swelling, canker sore",Stem,Gargle local alcohol- tinctured stem,1/2 to 1 glass,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 38
Piper decumanum L.,Piperaceae,Lunas bagon tapol,"Scabies, warts, impetigo; boils, skin eruptions, skin rashes and itchiness, pimple, acne; arthritis, rheumatism, swellings, muscle pain; backache, body ache, gas pain and flatulence; allergy, burns, cuts and wounds, sprain, snake, dog and insect bites, contacts with plants and animal parts; anesthetic",Stem,Apply coconut or Efficascent oil-infused stem,Completely on affected part,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 38
Piper nigrum L.,Piperaceae,Lunas bagon puti,"Cancer, cyst, tumor; tonsillitis; diarrhea, stomach trouble, ulcer, toothache, mouth sore, gum swelling; gas pain and flatulence; poisoning",Stem,Drink or gargle local alcohol- tinctured stem or drink decocted stem,1/2 to 1 glass of local alcohol tincture or 3–5 glasses of decoction,Once a day in thrice a week or as needed,In excess can cause intestinal weakening,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 39
Piper nigrum L.,Piperaceae,Lunas bagon puti,"Scabies, warts, impetigo; breast cancer; boils, skin eruptions, skin rashes and itchiness, pimple, acne; arthritis, rheumatism, swellings, muscle pain; backache, body ache, gas pain, and flatulence; skin allergy, burns, cuts and wounds, animal and insect bites, contacts with plants and animals parts; anesthetic",Stem,Apply coconut oil-infused or decocted stem,Completely on affected part,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 39
Piper sp.,Piperaceae,Buyo Pilipog,"Asthma, cough; rheumatism; fracture and dislocation",Leaf,Drink decoction,3–5 glasses ,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 39
Eleusine indica (L.) Gaertn.,Poaceae,Bilabila,"Measles; diabetes; internal bleeding; cough; diarrhea; arthritis; kidney problem; postpartum care and recovery; fever, cramp, and spasm; fracture and dislocation",Whole Plant,Drink decoction,3–5 glasses,Thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 39
Eleusine indica (L.) Gaertn.,Poaceae,Bilabila,Ringworm; hair loss; cuts and wounds,Whole Plant,Apply decoction,1 glass,1  Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 39
Imperata cylindrica (L.) P.Beauv.,Poaceae,Kogon,Urination difficulty,Shoot,Drink decoction,3–5 glasses,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 40
Imperata cylindrica (L.) P.Beauv.,Poaceae,Kogon,"Chicken pox, measles; diarrhea, toothache; fever, baby teething",Root,Drink decoction,3–5 glasses,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 40
Paspalum conjugatum P.J.Bergius,Poeaceae,Miligoy,"Diarrhea, dysentery",Root,"Drink
decoction",1 handful of roots,Twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 40
Paspalum conjugatum P.J.Bergius,Poeaceae,Miligoy,Hair loss; cuts and wounds,Root,Apply decoction as wash,1 handful of roots,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 40
Rosa sp.,Rosaceae,Rose,"Colds; nasal congestion, sinusitis",Flower,Drink or sniff hot water- infused flowers,1 glass,Thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 40
Rosa sp.,Rosaceae,Rose,Cuts and wounds,Flower,Apply hot water- infused flowers as wash,1 glass,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 40
Mussaenda philippica A.Rich.,Rubiaceae,Buyon,"Jaundice, colds; dysentery, stomachache; fever; snake bite","Bark, Leaf",Drink decoction,3–5 glasses,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 40
Mussaenda philippica A.Rich.,Rubiaceae,Buyon,"Asthma, cough",Flower,Eat fresh flower directly,1–3 flowers,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 40
Uncaria lanosa Wall.,Rubiaceae,Kawilan,Stomach trouble,"Sap, Stem",Drink stem sap,1/2 cup,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 40
Uncaria lanosa Wall.,Rubiaceae,Kawilan,Diarrhea,Stem,Drink local alcohol- tinctured bark,1/2 to 1 glass,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 40
Melicope latifolia (DC.) T.G.Hartley,Rutaceae,Bagaynga,Cough,Bark,Drink decoction of scraped bark,1–3 palm- sized barks,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 40
Melicope triphylla (Lam.) Merr.,Rutaceae,Dahile,"Pulmonary tuberculosis, cough","Leaf, Sap",Drink decoction or leaf sap,3–5 glasses or 3–5 leaves of sap,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 40
Melicope triphylla (Lam.) Merr.,Rutaceae,Dahile,Snake bite,"Leaf, Sap",Apply leaf sap,Completely on affected part,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 41
Micromelum minutum (G.Forst.) Wight & Arn.,Rutaceae,Lunas kahoy,"Cancer, cyst; diarrhea, stomach trouble, ulcer; poisoning","Leaf, Stem  ",Drink local alcohol- tinctured or decocted stem,1/2 to 1 glass,Once or twice a day or as needed,In excess can cause intestinal weakening,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 41
Micromelum minutum (G.Forst.) Wight & Arn.,Rutaceae,Lunas kahoy,"Tonsillitis; toothache, gum swelling, canker sore","Root, Stem ",Gargle local alcohol- tinctured stem,1/2 to 1 glass,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 41
Micromelum minutum (G.Forst.) Wight & Arn.,Rutaceae,Lunas kahoy,"Scabies, warts, impetigo; boils, skin eruptions, skin rashes and itchiness, pimple, acne; joint pain, rheumatism, swellings, muscle pain; backache, body ache, gas pain, and flatulence; allergy, burns, cuts, and wounds; snake, dog, and insect bites; contacts with plants and animal parts; anesthetic","Root, Stem ",Apply coconut or Efficascent oil-infused stem,Completely on affected part,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 41
Capsicum annuum L.,Solanaceae,Sili na bisaya,Diabetes; hypertension,Fruit,Eat fresh fruit directly or add as spice in cooking,7 fruits,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 41
Capsicum annuum L.,Solanaceae,Sili na bisaya,"White spot, athlete's foot; appetite enhancer; boils, skin rashes and itchiness, psoriasis, dandruff; insect bites",Leaf,Rub crushed leaves or leaf sap,3–5 leaves,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 41
Grewia laevigata Vahl,Sparmanniaceae,Talimughat lingin,"Diabetes; hypertension, heart enlargement; rheumatism; labor and delivery enhancer, postpartum care and recovery; backache, body ache, fever, weakness, and fatigue, relapse","Bark, Leaf, Root",Drink decoction,3–5 glasses  ,Once to thrice a day up to 3 days or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 42
Grewia laevigata Vahl,Sparmanniaceae,Talimughat lingin,"Muscle pain; labor and delivery enhancer, postpartum care and recovery; backache, body ache, fever, cramp, and spasm; relapse","Bark, Root ","Apply coconut or Efficascent oil-infused bark and root
 ",Completely on affected part,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 42
 Dendrocnide luzonensis (Wedd.) Chew,Urticaceae,Alingatong,"Diabetes; joint pain, swollen muscles, and swellings, muscle pain",Root,Drink decoction,3–5 glasses,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 42
Leucosyke capitellata Wedd.,Urticaceae,Anagasi,Stomach trouble and vomiting,Leaf,Drink decoction,3–5 glasses,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 42
Oreocnide rubescens (Blume) Miq.,Urticaceae,Kubi or Salin- ubod,"Cough; diarrhea, stomach trouble; fever",Leaf,Drink decoction,3–5 glasses,Twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 42
Pipturus arborescens (Link) C.B.Rob.,Urticaceae,Handamay,"Depression, anxiety, nervousness; stomach acidity; backache, body ache, headache, fever, weakness, and fatigue",Leaf,Eat fresh leaves or drink water solution of leaves,3–5 glasses ,Thrice a day for a month or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 42
Pipturus arborescens (Link) C.B.Rob.,Urticaceae,Handamay,"Herpes simplex, scabies; boils, dermatitis",Leaf,Rub crushed leaves,3–5 leaves,Thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 42
Pipturus arborescens (Link) C.B.Rob.,Urticaceae,Handamay,Skin rashes and infection; cuts and wounds,Bark,Apply pulp made from scraped bark as poultice,1–3 palm- sized barks,Twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 43
Poikilospermum acuminatum (Trecul.) Merr.,Urticaceae,Hanupi,Sore eyes; ulcer; postpartum care and recovery; fever,"Sap, Stem ",Drink stem sap or decoction stem,1 arm-sized stem,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 43
